datetime64_ns,filename,datetime64_ns,lat,lon,predicted
2019-02-05 12:57:09.680432,label_2019_02_05_12_57_09_680432.png,2019-02-05 12:57:09.680432,47.59831969959925,-122.33225501658113,0.7532581
2019-02-05 12:57:09.727307,label_2019_02_05_12_57_09_727307.png,2019-02-05 12:57:09.727307,47.598319482568556,-122.33225742266872,0.9437084
2019-02-05 12:57:09.749453,label_2019_02_05_12_57_09_749453.png,2019-02-05 12:57:09.749453,47.59831938003235,-122.33225855942537,0.7065362
2019-02-05 12:57:09.780724,label_2019_02_05_12_57_09_780724.png,2019-02-05 12:57:09.780724,47.598319235248034,-122.33226016456128,0.21531388
2019-02-05 12:57:09.827598,label_2019_02_05_12_57_09_827598.png,2019-02-05 12:57:09.827598,47.59831901822089,-122.33226257060944,0.3060698
2019-02-05 12:57:09.849744,label_2019_02_05_12_57_09_849744.png,2019-02-05 12:57:09.849744,47.59831891568587,-122.33226370735295,0.4805102
2019-02-05 12:57:09.881009,label_2019_02_05_12_57_09_881009.png,2019-02-05 12:57:09.881009,47.59831877092881,-122.33226531218664,0.877552
2019-02-05 12:57:09.912266,label_2019_02_05_12_57_09_912266.png,2019-02-05 12:57:09.912266,47.598318626208496,-122.33226691661295,0.90804875
2019-02-05 12:57:09.950034,label_2019_02_05_12_57_09_950034.png,2019-02-05 12:57:09.950034,47.598318451342955,-122.33226885524111,0.93638504
2019-02-05 12:57:09.981302,label_2019_02_05_12_57_09_981302.png,2019-02-05 12:57:09.981302,47.59831830657167,-122.33227046023248,0.90987235
2019-02-05 12:57:10.028175,label_2019_02_05_12_57_10_028175.png,2019-02-05 12:57:10.028175,47.59831796445181,-122.3322730755691,0.7562957
2019-02-05 12:57:10.097206,label_2019_02_05_12_57_10_097206.png,2019-02-05 12:57:10.097206,47.59831733834144,-122.33227713182549,0.9441711
2019-02-05 12:57:10.144077,label_2019_02_05_12_57_10_144077.png,2019-02-05 12:57:10.144077,47.598316913221105,-122.33227988596781,0.9408238
2019-02-05 12:57:10.166239,label_2019_02_05_12_57_10_166239.png,2019-02-05 12:57:10.166239,47.59831671221249,-122.33228118820223,0.7764427
2019-02-05 12:57:10.213112,label_2019_02_05_12_57_10_213112.png,2019-02-05 12:57:10.213112,47.59831628707358,-122.33228394246488,0.95298016
2019-02-05 12:57:10.250874,label_2019_02_05_12_57_10_250874.png,2019-02-05 12:57:10.250874,47.59831594457181,-122.33228616136282,0.9234432
2019-02-05 12:57:10.282137,label_2019_02_05_12_57_10_282137.png,2019-02-05 12:57:10.282137,47.59831566101661,-122.33228799837529,0.9437893
2019-02-05 12:57:10.313385,label_2019_02_05_12_57_10_313385.png,2019-02-05 12:57:10.313385,47.59831537759842,-122.33228983450024,0.64695436
2019-02-05 12:57:10.366799,label_2019_02_05_12_57_10_366799.png,2019-02-05 12:57:10.366799,47.59831489313213,-122.33229297311534,0.8150939
2019-02-05 12:57:10.398050,label_2019_02_05_12_57_10_398050.png,2019-02-05 12:57:10.398050,47.598314609686064,-122.33229480942082,0.76928675
2019-02-05 12:57:10.429301,label_2019_02_05_12_57_10_429301.png,2019-02-05 12:57:10.429301,47.59831432624,-122.33229664572629,0.87463295
2019-02-05 12:57:10.467092,label_2019_02_05_12_57_10_467092.png,2019-02-05 12:57:10.467092,47.598313983475855,-122.33229886632404,0.88481367
2019-02-05 12:57:10.551731,label_2019_02_05_12_57_10_551731.png,2019-02-05 12:57:10.551731,47.59831321580034,-122.33230383971026,0.9043977
2019-02-05 12:57:10.614252,label_2019_02_05_12_57_10_614252.png,2019-02-05 12:57:10.614252,47.59831264873407,-122.3323075134494,0.8631616
2019-02-05 12:57:10.652021,label_2019_02_05_12_57_10_652021.png,2019-02-05 12:57:10.652021,47.5983123061696,-122.33230973275349,0.75300914
2019-02-05 12:57:10.683287,label_2019_02_05_12_57_10_683287.png,2019-02-05 12:57:10.683287,47.59831202258655,-122.33231156994647,0.8820043
2019-02-05 12:57:10.714536,label_2019_02_05_12_57_10_714536.png,2019-02-05 12:57:10.714536,47.59831173915906,-122.3323134061316,0.9708054
2019-02-05 12:57:10.799202,label_2019_02_05_12_57_10_799202.png,2019-02-05 12:57:10.799202,47.598310971237424,-122.33231838111234,0.9415447
2019-02-05 12:57:10.830449,label_2019_02_05_12_57_10_830449.png,2019-02-05 12:57:10.830449,47.598310687828516,-122.33232021717713,0.9029681
2019-02-05 12:57:10.868223,label_2019_02_05_12_57_10_868223.png,2019-02-05 12:57:10.868223,47.598310345217605,-122.33232243678206,0.84465605
2019-02-05 12:57:10.915095,label_2019_02_05_12_57_10_915095.png,2019-02-05 12:57:10.915095,47.598309920087985,-122.33232519098455,0.88834614
2019-02-05 12:57:10.968500,label_2019_02_05_12_57_10_968500.png,2019-02-05 12:57:10.968500,47.59830943570529,-122.33232832905811,0.9719927
2019-02-05 12:57:11.015376,label_2019_02_05_12_57_11_015376.png,2019-02-05 12:57:11.015376,47.598308996548795,-122.33233108902155,0.98186225
2019-02-05 12:57:11.075539,label_2019_02_05_12_57_11_075539.png,2019-02-05 12:57:11.075539,47.59830839612134,-122.33233464586237,0.9467969
2019-02-05 12:57:11.425754,label_2019_02_05_12_57_11_425754.png,2019-02-05 12:57:11.425754,47.59830490097396,-122.3323553505831,0.97989035
2019-02-05 12:57:11.472628,label_2019_02_05_12_57_11_472628.png,2019-02-05 12:57:11.472628,47.59830443317288,-122.33235812176547,0.9544542
2019-02-05 12:57:11.557291,label_2019_02_05_12_57_11_557291.png,2019-02-05 12:57:11.557291,47.59830358823574,-122.33236312704439,0.9725515
2019-02-05 12:57:11.626312,label_2019_02_05_12_57_11_626312.png,2019-02-05 12:57:11.626312,47.598302899406875,-122.33236720756166,0.88211644
2019-02-05 12:57:11.673187,label_2019_02_05_12_57_11_673187.png,2019-02-05 12:57:11.673187,47.59830243159302,-122.3323699788197,0.71490806
